,Character,Count,KoreanFlag
671,群,47,False
672,薩,47,False
673,兒,47,False
674,雪,47,False
675,陶,47,False
676,坐,47,False
677,邑,46,False
678,團,46,False
679,刑,46,False
680,收,46,False
681,深,46,False
682,陀,46,False
683,쁩,46,True
684,藤,46,False
685,雙,46,False
686,넜,45,True
687,訴,45,False
688,態,45,False
689,欲,45,False
690,備,45,False
691,る,45,False
692,悲,45,False
693,革,45,False
694,阿,45,False
695,副,45,False
696,幻,45,False
697,갬,44,True
698,햐,44,True
699,完,44,False
700,冠,44,False
701,港,44,False
702,孤,44,False
703,賦,44,False
704,哲,44,False
705,抄,44,False
706,邪,44,False
707,課,44,False
708,逆,43,False
709,巨,43,False
710,六,43,False
711,慧,43,False
712,洲,43,False
713,圭,43,False
714,뮨,43,True
715,管,42,False
716,辛,42,False
717,康,42,False
718,布,42,False
719,移,42,False
720,鐵,42,False
721,錢,42,False
722,祥,42,False
723,送,42,False
724,設,42,False
725,特,42,False
726,瑞,41,False
727,演,41,False
728,陵,41,False
729,接,41,False
730,符,41,False
731,壁,41,False
732,借,41,False
733,눙,41,True
734,軒,41,False
735,哀,41,False
736,左,41,False
737,廳,41,False
738,愼,41,False
739,撰,41,False
740,赤,41,False
741,樣,40,False
742,準,40,False
743,볜,40,True
744,取,40,False
745,策,40,False
746,な,40,False
747,示,40,False
748,骨,40,False
749,警,40,False
750,熙,40,False
751,쎌,40,True
752,層,40,False
753,津,40,False
754,뙤,39,True
755,畿,39,False
756,杜,39,False
757,鬼,39,False
758,財,39,False
759,委,39,False
760,紅,39,False
761,빳,39,True
762,眼,39,False
763,唱,39,False
764,毅,39,False
765,훠,39,True
766,딨,39,True
767,鳳,39,False
768,施,39,False
769,啓,39,False
770,尼,39,False
771,絶,39,False
772,屬,39,False
773,推,38,False
774,放,38,False
775,輯,38,False
776,峯,38,False
777,係,38,False
778,獻,38,False
779,솽,38,True
780,陸,38,False
781,威,38,False
782,愚,38,False
783,舟,38,False
784,牧,38,False
785,짢,38,True
786,窮,38,False
787,奎,38,False
788,宇,38,False
789,毛,38,False
790,洋,38,False
791,恕,37,False
792,敍,37,False
793,配,37,False
794,昭,37,False
795,僞,37,False
796,賜,37,False
797,唯,37,False
798,冬,37,False
799,깽,37,True
800,荀,37,False
801,쇤,37,True
802,盡,36,False
803,消,36,False
804,罪,36,False
805,池,36,False
806,쉔,36,True
807,伊,36,False
808,캥,36,True
809,‰,36,False
810,돝,36,True
811,后,36,False
812,貢,36,False
813,右,35,False
814,環,35,False
815,巫,35,False
816,各,35,False
817,劉,35,False
818,依,35,False
819,奴,35,False
820,登,35,False
821,歲,35,False
822,뵌,35,True
823,築,35,False
824,頌,35,False
825,と,35,False
826,落,35,False
827,먀,35,True
828,梵,35,False
829,斗,35,False
830,參,35,False
831,愁,35,False
832,厚,34,False
833,計,34,False
834,똬,34,True
835,慕,34,False
836,網,34,False
837,う,34,False
838,ら,34,False
839,펐,34,True
840,懷,34,False
841,빻,34,True
842,柱,34,False
843,鍾,34,False
844,윾,34,True
845,虎,34,False
846,增,34,False
847,貴,34,False
848,券,34,False
849,總,34,False
850,復,34,False
851,쨍,34,True
852,驗,34,False
853,箴,34,False
854,퇘,33,True
855,階,33,False
856,浪,33,False
857,뎡,33,True
858,풂,33,True
859,탸,33,True
860,겜,33,True
861,批,33,False
862,幸,33,False
863,芝,33,False
864,刀,33,False
865,に,33,False
866,狀,33,False
867,寂,33,False
868,房,33,False
869,쪘,33,True
870,龜,33,False
871,繼,33,False
872,追,33,False
873,妻,33,False
874,窯,33,False
875,熱,33,False
876,潭,33,False
877,貞,33,False
878,融,33,False
879,連,33,False
880,曹,33,False
881,微,32,False
882,쭙,32,True
883,攝,32,False
884,郭,32,False
885,混,32,False
886,恨,32,False
887,浮,32,False
888,宴,32,False
889,終,32,False
890,た,32,False
891,お,32,False
892,短,32,False
893,越,32,False
894,適,32,False
895,軌,32,False
896,材,32,False
897,波,32,False
898,射,32,False
899,彌,32,False
900,漁,32,False
901,穆,32,False
902,橋,32,False
903,섦,31,True
904,及,31,False
905,隋,31,False
906,멓,31,True
907,乾,31,False
908,伯,31,False
909,楚,31,False
910,삯,31,True
911,黑,31,False
912,좡,31,True
913,쉥,31,True
914,慈,31,False
915,持,31,False
916,剛,31,False
917,恒,31,False
918,兼,31,False
919,宰,31,False
920,浩,31,False
921,徵,31,False
922,翼,31,False
923,衛,31,False
924,텡,31,True
925,跋,31,False
926,춈,31,True
927,助,30,False
928,힛,30,True
929,背,30,False
930,積,30,False
931,戱,30,False
932,般,30,False
933,償,30,False
934,稱,30,False
935,멥,30,True
936,卑,30,False
937,丘,30,False
938,껫,30,True
939,妃,30,False
940,찧,30,True
941,橫,30,False
942,抗,30,False
943,翁,30,False
944,菴,30,False
945,秉,30,False
946,那,30,False
947,盟,30,False
948,待,30,False
949,寇,30,False
950,台,29,False
951,庭,29,False
952,錦,29,False
953,갰,29,True
954,꼐,29,True
955,챤,29,True
956,電,29,False
957,享,29,False
958,腹,29,False
959,魂,29,False
960,콸,29,True
961,置,29,False
962,午,29,False
963,底,29,False
964,殊,29,False
965,詠,29,False
966,久,29,False
967,뽁,29,True
968,葉,29,False
969,酉,28,False
970,껀,28,True
971,湯,28,False
972,欽,28,False
973,肅,28,False
974,責,28,False
975,仲,28,False
976,蹟,28,False
977,휑,28,True
978,忘,28,False
979,熟,28,False
980,盤,28,False
981,何,28,False
982,麻,28,False
983,算,28,False
984,婦,28,False
985,角,28,False
986,惟,28,False
987,奏,28,False
988,渡,28,False
989,著,28,False
990,複,28,False
991,廷,28,False
992,뽈,28,True
993,腸,27,False
994,岡,27,False
995,巡,27,False
996,盛,27,False
997,뵀,27,True
998,藩,27,False
999,雄,27,False
1000,似,27,False
1001,낟,27,True
1002,쳉,27,True
1003,淳,27,False
1004,し,27,False
1005,座,27,False
1006,か,27,False
1007,訟,27,False
1008,豊,27,False
1009,鐘,27,False
1010,便,27,False
1011,涅,27,False
1012,槃,27,False
